Model,Malicious Chance,Num Episodes,Result
DQN,100,1000,0.989
DQN,90,1000,0.993
DQN,80,1000,0.985
DQN,70,1000,0.992
DQN,60,1000,0.984
DQN,50,1000,0.98
DQN,40,1000,0.982
DQN,30,1000,0.963
DQN,20,1000,0.944
DQN,10,1000,0.886
DQN,0,1000,1.0
DDQN,100,1000,0.99
DDQN,90,1000,0.985
DDQN,80,1000,0.985
DDQN,70,1000,0.989
DDQN,60,1000,0.982
DDQN,50,1000,0.976
DDQN,40,1000,0.976
DDQN,30,1000,0.963
DDQN,20,1000,0.949
DDQN,10,1000,0.91
DDQN,0,1000,1.0
Dueling,100,1000,0.992
Dueling,90,1000,0.99
Dueling,80,1000,0.988
Dueling,70,1000,0.997
Dueling,60,1000,0.981
Dueling,50,1000,0.984
Dueling,40,1000,0.992
Dueling,30,1000,0.992
Dueling,20,1000,0.997
Dueling,10,1000,0.937
Dueling,0,1000,1.0
