available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples
100,100,79,1000,12376,7564,244,17,0,7,0,24552,15,0,0,40,39.1868,22,15,27.6176,34
100,100,79,1000,11180,7568,244,17,0,7,0,19704,15,0,0,40,38.259,21.3846,13,27.5143,35
100,100,79,1000,9568,7564,202,17,0,6,0,17360,15,0,0,40,37.2514,21.2857,14,27.6061,33
100,100,79,1000,9828,6236,200,2,0,1,0,4136,15,0,0,40,0,0,1,27.75,4
100,100,79,1000,11128,7664,240,17,0,7,0,23464,15,0,0,40,37.9171,21.6154,13,27.5429,35
100,100,79,1000,11180,7580,227,17,0,7,0,21128,15,0,0,40,38.7494,21.9333,15,27.6176,34
100,100,79,1000,10400,7548,221,17,0,8,0,23248,15,0,0,40,38.7346,21.75,16,27.4286,35
100,100,79,1000,11388,7564,248,17,0,8,0,29152,15,0,0,40,38.2078,21.7143,14,27.5455,33
100,100,79,1000,8736,6064,194,12,0,6,0,17248,15,0,0,40,0,0,8,27.5217,23
100,100,79,1000,11440,7564,243,17,0,7,0,18264,15,0,0,40,38.0053,21.3333,15,27.5429,35
100,100,79,1000,12220,7528,238,18,0,7,0,22824,15,0,0,40,37.5689,21.9286,14,27.4167,36
100,100,79,1000,12168,7580,265,17,0,8,0,28544,15,0,0,40,38.2869,21.875,16,27.4706,34
100,100,79,1000,10088,6528,197,6,0,3,0,8680,15,0,0,40,37.7238,21.25,8,27.6,10
100,100,79,1000,11752,7564,254,17,0,8,0,24624,15,0,0,40,39.247,21.4444,18,27.6176,34
100,100,79,1000,11440,7548,245,17,0,8,0,23248,15,0,0,40,38.7741,21.75,16,27.4286,35
100,100,79,1000,11700,7588,247,17,0,8,0,23248,15,0,0,40,38.5031,21.6111,18,27.5758,33
100,100,79,1000,12064,7604,263,17,0,7,0,20680,15,0,0,40,38.4092,21.8462,13,27.3939,33
100,100,79,1000,11232,7536,229,13,0,5,0,12664,15,0,0,40,0,0,7,27.3333,24
100,100,79,1000,11648,7544,244,17,0,7,0,21112,15,0,0,40,38.8685,21.5714,14,27.6,35
100,100,79,1000,10296,7584,225,17,0,7,0,17768,15,0,0,40,37.4539,21.0769,13,27.5588,34
100,100,79,1000,11024,7552,248,17,0,8,0,23248,15,0,0,40,38.5018,21.6111,18,27.5714,35
100,100,79,1000,9620,6568,201,6,0,3,0,8680,15,0,0,40,38.854,21.6,5,27.4167,12
100,100,79,1000,10920,7552,235,18,0,6,0,17856,15,0,0,40,38.5044,21.5714,14,27.4571,35
100,100,79,1000,10140,7544,224,17,0,8,0,25712,15,0,0,40,38.0329,21.6111,18,27.5714,35
100,100,79,1000,10868,7516,222,17,0,8,0,23248,15,0,0,40,38.2035,21.75,16,27.4242,33
100,100,79,1000,11180,7572,235,18,0,7,0,23304,15,0,0,40,37.8413,21.6667,15,27.4571,35
100,100,79,1000,11856,7568,254,17,0,8,0,23248,15,0,0,40,38.4647,21.75,16,27.4333,30
100,100,79,1000,12792,7584,282,17,0,7,0,24552,15,0,0,40,38.4785,21.7692,13,27.5882,34
100,100,79,1000,11908,7552,253,17,0,8,0,24624,15,0,0,40,38.7941,21.4444,18,27.5714,35
100,100,79,1000,11336,7532,220,18,0,7,0,19720,15,0,0,40,38.4762,21.8462,13,27.1143,35
100,100,79,1000,11544,7332,253,9,0,3,0,9656,15,0,0,0,0,0,5,27.25,16
100,100,79,1000,12168,7592,262,1,0,1,0,4136,15,0,0,40,39.4117,22,3,17.75,4
